"A_Slice","Condition","Region","ZT","T_U","U_shoot","U_norm"
"M1_1","Control","DH",3,40.94,-0.147,0.931485149
"M1_2","Control","DH",3,47.67,-0.167,1.058217822
"M2_1","Control","DH",3,52.24,-0.146,0.925148515
"M2_2","Control","DH",3,53.65,-0.123,0.779405941
"M3_1","Control","DH",3,90.35,-0.181,1.146930693
"M3_2","Control","DH",3,87.53,-0.178,1.127920792
"M4_1","Control","DH",3,52.24,-0.201,1.273663366
"M4_2","Control","DH",3,66.64,-0.179,1.134257426
"M5_1","Control","DH",3,50.12,-0.291,1.843960396
"M5_2","Control","DH",3,38.18,-0.025,0.158415842
"M6_1","Control","DH",3,41.05,-0.204,1.292673267
"M6_2","Control","DH",3,39.04,-0.17,1.077227723
"M7_1","Control","DH",3,63.53,-0.155,0.982178218
"M7_2","Control","DH",3,71.29,-0.114,0.722376238
"M8_1","Control","DH",3,26.83,-0.13,0.823762376
"M8_2","Control","DH",3,43.06,-0.114,0.722376238
"M1_1","Control","VH",3,54.97,-0.049,0.31049505
"M1_2","Control","VH",3,51.34,-0.628,3.979405941
"M2_1","Control","VH",3,46.6,-0.546,3.45980198
"M2_2","Control","VH",3,33.72,-0.645,4.087128713
"M3_1","Control","VH",3,29.52,-0.49,3.104950495
"M3_2","Control","VH",3,34.31,-0.403,2.553663366
"M4_1","Control","VH",3,52.04,-0.682,4.321584158
"M4_2","Control","VH",3,32.93,-0.685,4.340594059
"M5_1","Control","VH",3,55.49,-0.866,5.487524752
"M5_2","Control","VH",3,62.32,-0.591,3.744950495
"M6_1","Control","VH",3,88.29,-1.27,8.047524752
"M6_2","Control","VH",3,88.29,-1.133,7.179405941
"M7_1","Control","VH",3,55.06,-0.163,1.032871287
"M7_2","Control","VH",3,46.59,-0.156,0.988514851
"M8_1","Control","VH",3,80.47,-0.203,1.286336634
"M8_2","Control","VH",3,35.78,-0.000001,0.00000633663
"M1_1","Control","DH",8,63,-0.155,0.982178218
"M1_2","Control","DH",8,76,-0.147,0.931485149
"M2_1","Control","DH",8,69.18,-0.154,0.975841584
"M2_2","Control","DH",8,61.35,-0.15,0.95049505
"M3_1","Control","DH",8,38.12,-0.338,2.141782178
"M3_2","Control","DH",8,35.6,-0.243,1.53980198
"M4_1","Control","DH",8,36.14,-0.05,0.316831683
"M4_2","Control","DH",8,48.71,-0.017,0.107722772
"M5_1","Control","DH",8,28.95,-0.247,1.565148515
"M5_2","Control","DH",8,24.74,-0.252,1.596831683
"M6_1","Control","DH",8,39.53,-0.255,1.615841584
"M6_2","Control","DH",8,32.26,-0.219,1.387722772
"M7_1","Control","DH",8,30.13,-0.336,2.129108911
"M7_2","Control","DH",8,24.74,-0.221,1.40039604
"M8_1","Control","DH",8,38.12,-0.062,0.392871287
"M8_2","Control","DH",8,35.3,-0.082,0.51960396
"M9_1","Control","DH",8,43.06,-0.053,0.335841584
"M9_2","Control","DH",8,42.35,-0.079,0.500594059
"M10_1","Control","DH",8,53.65,-0.207,1.311683168
"M10_2","Control","DH",8,68.47,-0.188,1.191287129
"M1_1","Control","VH",8,39.09,-1.055,6.685148515
"M1_2","Control","VH",8,65.05,-0.794,5.031287129
"M2_1","Control","VH",8,42.35,-0.211,1.337029703
"M2_2","Control","VH",8,35.3,-0.179,1.134257426
"M3_1","Control","VH",8,99.23,-0.179,1.134257426
"M3_2","Control","VH",8,87.61,-0.051,0.323168317
"M4_1","Control","VH",8,59.35,-0.06,0.38019802
"M4_2","Control","VH",8,61.41,-0.108,0.684356436
"M5_1","Control","VH",8,33.62,-0.522,3.307722772
"M5_2","Control","VH",8,24.06,-0.447,2.832475248
"M6_1","Control","VH",8,27.53,-0.424,2.686732673
"M6_2","Control","VH",8,24.71,-0.418,2.648712871
"M7_1","Control","VH",8,37.03,-0.438,2.775445545
"M7_2","Control","VH",8,45.1,-0.427,2.705742574
"M8_1","Control","VH",8,88.24,-0.000001,0.00000633663
"M8_2","Control","VH",8,171.52,-0.008,0.050693069
"M9_1","Control","VH",8,141.88,-0.000001,0.00000633663
"M9_2","Control","VH",8,177.88,-0.000001,0.00000633663
"M10_1","Control","VH",8,33.93,-0.299,1.894653465
"M10_2","Control","VH",8,33.2,-0.27,1.710891089
"M1_1","Control","DH",15,83.99,-0.118,0.747722772
"M1_2","Control","DH",15,59.01,-0.035,0.221782178
"M2_1","Control","DH",15,17.64,-0.102,0.646336634
"M2_2","Control","DH",15,23.29,-0.125,0.792079208
"M3_1","Control","DH",15,32.93,-0.297,1.881980198
"M3_2","Control","DH",15,30.2,-0.254,1.60950495
"M4_1","Control","DH",15,21.6,-0.289,1.831287129
"M4_2","Control","DH",15,21.97,-0.282,1.786930693
"M5_1","Control","DH",15,37.72,-0.563,3.567524752
"M5_2","Control","DH",15,41.82,-0.542,3.434455446
"M6_1","Control","DH",15,32.46,-0.246,1.558811881
"M6_2","Control","DH",15,34.59,-0.217,1.375049505
"M7_1","Control","DH",15,26.11,-0.193,1.222970297
"M7_2","Control","DH",15,53.65,-0.293,1.856633663
"M8_1","Control","DH",15,42.46,-0.251,1.59049505
"M9_1","Control","DH",15,64.23,-0.185,1.172277228
"M9_2","Control","DH",15,56.46,-0.14,0.887128713
"M10_1","Control","DH",15,52.24,-0.036,0.228118812
"M10_2","Control","DH",15,60.71,-0.036,0.228118812
"M1_1","Control","VH",15,22.39,-0.214,1.356039604
"M1_2","Control","VH",15,26.78,-0.24,1.520792079
"M2_1","Control","VH",15,22.33,-0.289,1.831287129
"M2_2","Control","VH",15,23.37,-0.301,1.907326733
"M3_1","Control","VH",15,19.6,-0.841,5.329108911
"M3_2","Control","VH",15,18.02,-0.716,4.537029703
"M4_1","Control","VH",15,28.24,-0.529,3.352079208
"M4_2","Control","VH",15,28.23,-0.536,3.396435644
"M5_1","Control","VH",15,80.08,-0.472,2.990891089
"M5_2","Control","VH",15,91.02,-1.013,6.419009901
"M6_1","Control","VH",15,35.58,-0.291,1.843960396
"M6_2","Control","VH",15,42.35,-0.221,1.40039604
"M7_1","Control","VH",15,39.77,-0.442,2.800792079
"M7_2","Control","VH",15,41.82,-0.476,3.016237624
"M8_1","Control","VH",15,49.4,-0.244,1.546138614
"M8_2","Control","VH",15,36.71,-0.466,2.952871287
"M9_1","Control","VH",15,36.7,-0.122,0.773069307
"M9_2","Control","VH",15,35.3,-0.029,0.183762376
"M10_1","Control","VH",15,129.18,-0.177,1.121584158
"M10_2","Control","VH",15,114.35,-0.168,1.064554455
