Date,M,Region,Time,Count
20240118,1379,VH,3,231
20240118,1381,VH,3,88
20240118,1383,VH,3,200
20240119,1386,VH,3,157
20240119,1388,VH,3,171
20240213,1395,VH,8,143
20240214,1401,VH,8,143
20240220,1414,VH,8,159
20240121,1417,VH,3,144
20240121,1419,VH,3,112
20240228,1436,DH,8,135
20240228,1437,VH,8,131
20240228,1438,DH,8,145
20240228,1439,VH,8,116
20240408,1471,DH,8,71
20240408,1472,DH,8,107
20240408,1473,DH,8,173
20240408,1474,DH,8,116
20240408,1475,DH,8,139
20240409,1476,DH,15,174
20240409,1477,DH,15,234
20240409,1478,VH,15,202
20240411,1480,VH,15,105
20240411,1481,DH,15,138
20240411,1482,VH,15,187
20240411,1483,DH,15,126
20240411,1484,DH,15,97
20240415,1485,DH,8,117
20240415,1486,DH,8,136
20240415,1488,DH,8,159
20241127,1550,VH,15,119
20250114,1563,DH,3,122
20250115,1564,VH,3,159
20250115,1566,DH,3,102
20250115,1567,VH,3,107
20250204,1587,VH,8,106
20250204,1588,DH,8,77
20250204,1589,DH,8,96
20250204,1590,VH,8,86
20250213,1598,DH,15,105
20250213,1600,VH,15,89
20250213,1601,DH,15,102
20250310,1613,VH,15,111
20250310,1615,VH,15,82
20250310,1616,DH,15,132
20250310,1617,VH,15,72
20250311,1618,DH,8,86
20250311,1619,VH,8,102
20250312,1620,VH,8,92
20250312,1621,DH,8,89
20250312,1622,VH,8,152
20250312,1624,DH,8,89
20250312,1625,VH,8,116
20250325,1627,DH,15,147
20250326,1628,DH,15,100
20250326,1629,VH,15,146
20250326,1630,DH,15,115
20250401,1633,DH,3,105
20250401,1634,DH,3,97
20250401,1635,VH,3,110
20250408,1645,DH,3,82
20250505,1667,DH,3,79
20250505,1668,VH,3,104
20250505,1670,DH,3,132
20250505,1671,DH,3,77
20250506,1672,DH,3,81
20250506,1673,DH,3,124
20250506,1674,VH,3,134
20250506,1675,DH,3,140
