Date,ZT,Region,Peak,Time_peak,Tau,LFP_Integral
230925,3,DH,0.685,0.679,0.828,1.163562172
230925,3,DH,0.727,0.755,0.828,1.237858308
230926,3,DH,1.097,1.022,0.749,1.683442644
230926,3,DH,1.132,0.947,0.888,1.561604681
231002,3,DH,1.188,1.162,1.477,2.097576233
231002,3,DH,1.188,1.261,1.337,1.814288533
231003,3,DH,0.624,0.75,1.168,0.488006275
231003,3,DH,1.209,0.865,1.298,0.527733535
231010,3,DH,1.467,1.17,0.739,0.518379151
231010,3,DH,1.607,1.228,0.689,0.53581757
240430,3,DH,1.188,0.816,1.118,0.762132068
240430,3,DH,1.188,0.906,1.108,0.699346059
250401,3,DH,0.643,1.195,1.108,0.43884764
250401,3,DH,0.594,1.359,1.188,0.408051314
250410,3,DH,0.768,0.947,0.719,1.070172315
250410,3,DH,0.699,0.939,0.759,0.993181501
230925,3,VH,1.9,1.071,0.838,1.586857668
230925,3,VH,1.753,0.692,0.878,1.512600028
230926,3,VH,3.004,0.601,0.499,1.437033544
230926,3,VH,2.724,0.568,0.509,1.35292108
231002,3,VH,2.585,0.313,0.379,1.927003084
231002,3,VH,2.585,0.28,0.399,1.930082717
231003,3,VH,0.797,0.552,0.629,0.667394871
231003,3,VH,2.008,0.486,0.599,0.647069297
231010,3,VH,3.353,0.577,0.759,1.22476987
231010,3,VH,2.934,0.536,0.679,1.186620921
240430,3,VH,3.283,0.387,0.948,1.096965118
240430,3,VH,3.074,0.363,0.888,1.030060101
250401,3,VH,0.699,1.458,1.288,0.378024897
250401,3,VH,0.538,1.294,1.218,0.334910041
250410,3,VH,0.978,1.565,1.397,0.54663478
250410,3,VH,0.838,1.236,1.697,0.54663478
240206,8,DH,1.467,1.565,1.697,0.602684092
240206,8,DH,1.188,1.813,1.198,0.557567475
240213,8,DH,1.327,1.071,0.639,0.355736056
240213,8,DH,1.257,1.153,0.808,0.314980969
240214,8,DH,0.196,1.705,0.998,1.212297358
240214,8,DH,0.168,1.178,1.198,1.073290443
240220,8,DH,2.864,0.61,0.449,3.273495431
240220,8,DH,2.794,0.626,0.439,3.295322327
240228,8,DH,1.677,1.025,0.998,0.671937329
240228,8,DH,1.607,0.95,1.098,0.717053947
240312,8,DH,2.459,0.799,0.669,0.749197611
240312,8,DH,2.424,0.882,0.719,0.730026899
250204,8,DH,1.397,1.244,1.487,0.768291333
250204,8,DH,1.327,1.096,1.557,0.838006515
250130,8,DH,0.58,0.915,0.988,0.746810896
250130,8,DH,0.531,1.071,0.978,0.731412733
240205,8,VH,3.772,0.906,0.799,0.349946347
240205,8,VH,2.724,2.554,2.226,0.332261557
240206,8,VH,0.629,2.307,0.908,0.274064201
240206,8,VH,0.629,1.483,0.838,0.27315186
240213,8,VH,3.842,1.401,0.888,0.130757349
240213,8,VH,3.842,1.318,0.878,0.123935963
240214,8,VH,0.803,0.486,0.789,1.423175197
240214,8,VH,0.768,0.552,0.729,1.346684824
240220,8,VH,2.655,0.519,0.459,0.568038226
240220,8,VH,2.375,0.568,0.429,0.622971172
240228,8,VH,1.327,0.514,0.469,0.409822103
240228,8,VH,1.327,0.432,0.499,0.405164159
240312,8,VH,3.144,0.865,0.812,1.601023978
240312,8,VH,2.871,0.972,0.769,1.327591102
250204,8,VH,0.824,2.422,1.427,0.310165193
250204,8,VH,0.838,2.455,1.128,0.336638485
250130,8,VH,0.978,1.104,0.739,0.592829268
250130,8,VH,1.048,0.947,0.789,0.562032942
240222,15,DH,0.824,1.467,2.006,0.053912818
240222,15,DH,0.859,1.491,1.996,0.053912818
240226,15,DH,0.936,0.676,0.509,0.838429965
240226,15,DH,0.887,0.807,0.579,0.868109924
240227,15,DH,2.515,0.76,1.118,1.236010528
240227,15,DH,2.585,0.683,1.098,1.269193569
240325,15,DH,1.677,0.529,0.599,0.533623332
240325,15,DH,1.607,0.619,0.639,0.529427333
240326,15,DH,4.261,0.626,0.729,0.800665971
240326,15,DH,4.611,0.593,0.709,0.80016553
240411,15,DH,2.305,0.824,0.509,1.653608704
240411,15,DH,2.166,0.865,0.539,1.621734507
240730,15,DH,1.118,0.61,0.559,0.920040228
240730,15,DH,1.327,0.634,0.389,0.904642065
240802,15,DH,1.677,0.939,0.629,0.793005385
250325,15,DH,0.636,1.145,1.298,1.170260373
250325,15,DH,0.664,1.178,1.168,1.189508077
250326,15,DH,1.048,0.997,0.908,0.38495407
250326,15,DH,0.978,1.096,0.878,0.388803611
240222,15,VH,4.052,0.824,0.449,1.550594995
240222,15,VH,3.982,0.75,0.429,1.568110405
240226,15,VH,2.724,0.676,0.499,0.205107378
240226,15,VH,2.585,0.692,0.489,0.231503679
240227,15,VH,1.886,0.601,0.439,0.342559078
240227,15,VH,1.816,0.594,0.409,0.367557996
240325,15,VH,2.173,0.645,0.539,0.486504954
240325,15,VH,2.194,0.67,0.519,0.504636291
240326,15,VH,2.864,1.64,1.417,1.742263626
240326,15,VH,2.934,1.392,1.427,1.70904209
240411,15,VH,1.418,1.162,0.679,1.298488574
240411,15,VH,1.348,1.112,0.709,1.221651742
240730,15,VH,2.794,0.445,0.699,0.973933798
240730,15,VH,3.283,0.404,0.719,0.997031042
240802,15,VH,1.502,0.626,0.828,0.38495407
250325,15,VH,1.048,1.219,0.699,0.427299018
250325,15,VH,0.908,1.203,0.719,0.427299018
250326,15,VH,1.048,1.475,1.088,0.153981628
250326,15,VH,1.188,1.664,1.048,0.146282547
